province;red;green;blue;x;x
171;97;237;179;praago;x
172;214;233;203;praagp;x
173;240;58;247;praagq;x
174;154;207;209;praagr;x
175;221;177;217;praags;x
176;129;231;252;praagt;x
177;168;239;120;praagu;x
178;227;204;115;praagv;x
179;189;215;213;praagw;x
180;187;225;96;praagx;x
181;221;241;170;praagy;x
182;205;225;179;praagz;x
183;250;247;209;praaha;x
184;101;250;214;praahb;x
185;176;148;241;praahc;x
186;174;205;197;praahd;x
187;240;123;183;praahe;x
188;240;198;107;praahf;x
189;200;182;161;praahg;x
190;254;216;86;praahh;x
191;90;186;252;praahi;x
192;157;232;233;praahj;x
193;227;196;184;praahk;x
194;239;209;119;praahl;x
195;115;150;244;praahm;x
196;246;123;250;praahn;x
197;244;218;82;praaho;x
198;207;239;184;praahp;x
199;88;176;252;praahq;x
200;249;149;162;praahr;x
201;178;140;252;praahs;x
202;227;217;116;praaht;x
203;116;247;203;praahu;x
204;32;235;253;praahv;x
205;94;254;173;praahw;x
206;169;213;192;praahx;x
207;164;209;192;praahy;x
208;205;182;155;praahz;x
209;187;176;157;praaia;x
210;58;245;246;praaib;x
211;215;191;134;praaic;x
212;181;242;84;praaid;x
213;237;249;18;praaie;x
214;166;137;236;praaif;x
215;245;123;235;praaig;x
216;225;237;228;praaih;x
217;238;187;96;praaii;x
218;252;91;178;praaij;x
219;172;203;166;praaik;x
220;35;219;254;praail;x
221;211;236;65;praaim;x
222;81;248;177;praain;x
223;185;210;205;praaio;x
224;140;199;164;praaip;x
225;180;198;152;praaiq;x
226;86;224;217;praair;x
227;183;140;201;praais;x
228;212;169;243;praait;x
229;166;218;146;praaiu;x
230;169;197;168;praaiv;x
231;212;239;205;praaiw;x
232;247;65;248;praaix;x
233;237;168;250;praaiy;x
234;118;204;216;praaiz;x
235;199;126;195;praaja;x
236;181;72;248;praajb;x
237;210;235;74;praajc;x
238;91;240;194;praajd;x
239;241;246;65;praaje;x
240;233;86;193;praajf;x
241;209;238;149;praajg;x
242;180;247;194;praajh;x
243;131;220;173;praaji;x
244;241;159;145;praajj;x
245;239;154;188;praajk;x
246;121;248;211;praajl;x
247;161;210;158;praajm;x
248;189;221;215;praajn;x
249;135;189;183;praajo;x
250;158;192;230;praajp;x
251;117;211;209;praajq;x
252;220;142;186;praajr;x
253;156;206;156;praajs;x
254;87;236;186;praajt;x
255;180;143;241;praaju;x
256;86;249;173;praajv;x
257;222;235;168;praajw;x
258;214;176;132;praajx;x
259;186;200;235;praajy;x
260;249;254;186;praajz;x
261;174;206;201;praaka;x
262;252;181;131;praakb;x
263;232;216;147;praakc;x
264;178;251;76;praakd;x
265;142;160;213;praake;x
266;191;212;238;praakf;x
267;240;146;218;praakg;x
268;149;222;132;praakh;x
269;113;160;251;praaki;x
270;233;216;181;praakj;x
271;238;219;131;praakk;x
272;210;219;161;praakl;x
273;228;54;226;praakm;x
274;202;196;108;praakn;x
275;215;117;205;praako;x
276;138;188;223;praakp;x
277;144;126;249;praakq;x
278;208;125;240;praakr;x
279;180;117;252;praaks;x
280;180;244;163;praakt;x
281;251;177;238;praaku;x
282;235;82;187;praakv;x
283;185;231;87;praakw;x
284;248;168;236;praakx;x
285;210;172;177;praaky;x
286;238;249;224;praakz;x
287;187;182;222;praala;x
288;188;234;199;praalb;x
289;234;246;93;praalc;x
290;136;246;222;praald;x
291;144;250;220;praale;x
292;221;115;186;praalf;x
293;77;208;235;praalg;x
294;199;222;213;praalh;x
295;212;247;67;praali;x
296;160;225;217;praalj;x
297;168;233;182;praalk;x
298;228;100;224;praall;x
299;225;74;218;praalm;x
300;217;111;250;praaln;x
301;170;176;233;praalo;x
302;240;68;235;praalp;x
303;223;245;112;praalq;x
304;248;188;141;praalr;x
305;198;186;153;praals;x
306;202;186;146;praalt;x
307;121;196;203;praalu;x
308;167;171;224;praalv;x
309;195;145;193;praalw;x
310;225;203;103;praalx;x
311;249;237;23;praaly;x
312;246;233;237;praalz;x
313;216;241;163;praama;x
314;103;182;252;praamb;x
315;89;213;217;praamc;x
316;221;191;149;praamd;x
317;247;217;250;praame;x
318;174;226;145;praamf;x
319;127;227;221;praamg;x
320;46;210;249;praamh;x
321;250;234;104;praami;x
322;252;167;99;praamj;x
323;196;221;251;praamk;x
324;208;183;127;praaml;x
325;254;249;31;praamm;x
326;115;249;244;praamn;x
327;194;164;203;praamo;x
328;213;218;153;praamp;x
329;243;88;179;praamq;x
330;218;246;159;praamr;x
331;235;175;206;praams;x
332;201;78;226;praamt;x
333;224;192;107;praamu;x
334;238;72;231;praamv;x
335;199;196;165;praamw;x
336;220;219;236;praamx;x
337;220;121;236;praamy;x
338;145;193;206;praamz;x
339;182;211;123;praana;x
340;193;233;159;praanb;x
341;208;231;96;praanc;x
342;180;209;209;praand;x
343;125;252;215;praane;x
344;234;212;149;praanf;x
345;248;149;175;praang;x
346;113;199;208;praanh;x
347;212;221;124;praani;x
348;216;228;174;praanj;x
349;244;206;238;praank;x
350;252;76;210;praanl;x
351;105;198;252;praanm;x
352;150;201;212;praann;x
353;192;188;152;praano;x
354;108;233;241;praanp;x
355;164;169;232;praanq;x
356;197;239;173;praanr;x
357;245;173;220;praans;x
358;159;149;208;praant;x
359;248;102;200;praanu;x
360;221;228;206;praanv;x
361;145;217;162;praanw;x
362;227;49;233;praanx;x
363;151;243;169;praany;x
364;95;234;201;praanz;x
365;204;172;246;praaoa;x
366;202;96;235;praaob;x
367;128;229;147;praaoc;x
368;162;252;212;praaod;x
369;158;165;225;praaoe;x
370;247;172;158;praaof;x
371;244;190;152;praaog;x
372;180;185;140;praaoh;x
373;188;233;193;praaoi;x
374;125;128;250;praaoj;x
375;181;141;239;praaok;x
376;171;188;142;praaol;x
377;208;244;56;praaom;x
378;188;199;155;praaon;x
379;247;195;144;praaoo;x
380;223;168;250;praaop;x
381;151;251;182;praaoq;x
382;235;141;204;praaor;x
383;228;198;169;praaos;x
384;213;235;87;praaot;x
385;242;66;246;praaou;x
386;169;229;185;praaov;x
387;203;169;224;praaow;x
388;240;69;198;praaox;x
389;218;48;239;praaoy;x
390;138;197;183;praaoz;x
391;113;216;231;praapa;x
392;223;201;147;praapb;x
393;98;245;233;praapc;x
394;93;241;212;praapd;x
395;230;189;150;praape;x
396;184;164;226;praapf;x
397;247;228;70;praapg;x
398;36;254;213;praaph;x
399;237;213;188;praapi;x
400;191;201;215;praapj;x
401;225;229;101;praapk;x
402;236;236;191;praapl;x
403;225;250;103;praapm;x
404;250;176;136;praapn;x
405;205;157;142;praapo;x
406;243;243;86;praapp;x
407;154;223;136;praapq;x
408;234;160;242;praapr;x
409;243;114;231;praaps;x
410;221;188;226;praapt;x
411;124;181;254;praapu;x
412;251;161;191;praapv;x
413;228;236;116;praapw;x
414;252;78;224;praapx;x
415;75;219;223;praapy;x
416;229;135;230;praapz;x
417;204;204;215;praaqa;x
418;189;198;176;praaqb;x
419;90;181;250;praaqc;x
420;213;163;244;praaqd;x
421;194;249;181;praaqe;x
422;242;132;231;praaqf;x
423;108;250;192;praaqg;x
424;218;72;227;praaqh;x
425;95;204;243;praaqi;x
426;172;227;113;praaqj;x
427;212;223;246;praaqk;x
428;141;141;239;praaql;x
429;239;173;105;praaqm;x
430;236;181;223;praaqn;x
431;242;204;183;praaqo;x
432;85;179;248;praaqp;x
433;62;243;238;praaqq;x
434;226;171;173;praaqr;x
435;203;231;239;praaqs;x
436;232;186;106;praaqt;x
437;242;238;126;praaqu;x
438;57;226;239;praaqv;x
439;193;176;221;praaqw;x
440;156;142;222;praaqx;x
441;254;146;155;praaqy;x
442;151;213;226;praaqz;x
443;217;206;108;praara;x
444;227;140;211;praarb;x
445;238;196;91;praarc;x
446;250;212;235;praard;x
447;215;187;108;praare;x
448;188;214;112;praarf;x
449;150;192;218;praarg;x
450;251;180;78;praarh;x
451;82;213;249;praari;x
452;163;232;127;praarj;x
453;248;138;134;praark;x
454;212;193;247;praarl;x
455;144;178;226;praarm;x
456;159;251;185;praarn;x
457;121;200;242;praaro;x
458;225;193;156;praarp;x
459;158;186;201;praarq;x
460;195;250;133;praarr;x
461;228;77;203;praars;x
462;253;171;249;praart;x
463;254;137;233;praaru;x
464;212;99;238;praarv;x
465;202;230;244;praarw;x
466;165;248;211;praarx;x
467;92;216;199;praary;x
468;234;102;228;praarz;x
469;123;140;242;praasa;x
470;171;196;180;praasb;x
471;239;236;71;praasc;x
472;219;99;226;praasd;x
473;197;233;217;praase;x
474;222;224;202;praasf;x
475;210;135;244;praasg;x
476;250;239;249;praash;x
477;204;201;143;praasi;x
478;229;189;226;praasj;x
479;197;170;197;praask;x
480;234;201;216;praasl;x
481;246;147;222;praasm;x
482;235;158;215;praasn;x
483;251;202;75;praaso;x
484;163;132;243;praasp;x
485;177;154;206;praasq;x
486;143;246;180;praasr;x
487;223;67;234;praass;x
488;167;200;145;praast;x
489;136;157;232;praasu;x
490;235;81;214;praasv;x
491;200;243;113;praasw;x
492;206;61;249;praasx;x
493;157;204;247;praasy;x
494;235;57;252;praasz;x
495;221;228;211;praata;x
496;140;243;124;praatb;x
497;140;207;238;praatc;x
498;65;244;246;praatd;x
499;199;212;240;praate;x
500;221;166;215;praatf;x
501;27;244;253;praatg;x
502;131;229;225;praath;x
503;231;107;201;praati;x
504;234;110;206;praatj;x
505;168;241;92;praatk;x
506;199;247;123;praatl;x
507;172;201;206;praatm;x
508;183;187;208;praatn;x
509;243;196;182;praato;x
510;203;220;203;praatp;x
511;140;232;166;praatq;x
512;131;206;203;praatr;x
513;155;239;204;praats;x
514;198;139;195;praatt;x
515;246;234;211;praatu;x
516;230;145;211;praatv;x
517;184;235;87;praatw;x
518;254;243;188;praatx;x
519;230;119;175;praaty;x
520;181;147;200;praatz;x
521;226;140;195;praaua;x
522;123;131;247;praaub;x
523;252;238;199;praauc;x
524;220;246;248;praaud;x
525;162;210;197;praaue;x
526;252;61;196;praauf;x
527;59;222;251;praaug;x
528;211;220;248;praauh;x
529;247;196;248;praaui;x
530;84;248;205;praauj;x
531;174;211;136;praauk;x
532;227;136;164;praaul;x
533;237;215;68;praaum;x
534;203;159;220;praaun;x
535;229;208;158;praauo;x
536;126;166;226;praaup;x
537;85;237;252;praauq;x
538;184;159;177;praaur;x
539;215;208;242;praaus;x
540;250;227;24;praaut;x
541;216;182;112;praauu;x
542;220;212;244;praauv;x
543;175;232;156;praauw;x
544;182;195;190;praaux;x
545;178;216;143;praauy;x
546;230;228;95;praauz;x
547;253;199;108;praava;x
548;237;161;188;praavb;x
549;235;21;246;praavc;x
550;239;249;188;praavd;x
551;228;193;212;praave;x
552;253;207;42;praavf;x
553;220;247;167;praavg;x
554;153;200;223;praavh;x
555;213;157;206;praavi;x
556;114;216;218;praavj;x
557;238;55;254;praavk;x
558;213;227;110;praavl;x
559;186;253;107;praavm;x
560;110;209;214;praavn;x
561;119;235;212;praavo;x
562;65;228;224;praavp;x
563;123;242;209;praavq;x
564;235;79;243;praavr;x
565;173;242;103;praavs;x
566;156;144;234;praavt;x
567;238;213;66;praavu;x
568;179;189;190;praavv;x
569;175;196;189;praavw;x
570;149;161;249;praavx;x
571;205;204;135;praavy;x
572;154;217;163;praavz;x
573;206;93;218;praawa;x
574;254;223;41;praawb;x
575;185;72;248;praawc;x
576;236;205;241;praawd;x
577;156;127;229;praawe;x
578;175;187;147;praawf;x
579;137;246;147;praawg;x
580;250;35;251;praawh;x
581;238;249;71;praawi;x
582;221;234;128;praawj;x
583;198;144;204;praawk;x
584;147;203;199;praawl;x
585;245;155;135;praawm;x
586;248;30;233;praawn;x
587;222;187;241;praawo;x
588;85;221;225;praawp;x
589;186;113;220;praawq;x
590;175;229;119;praawr;x
591;172;212;202;praaws;x
592;164;198;228;praawt;x
593;142;117;242;praawu;x
594;254;183;160;praawv;x
595;253;243;253;praaww;x
596;156;188;178;praawx;x
597;186;242;171;praawy;x
598;213;238;146;praawz;x
599;155;161;204;praaxa;x
600;187;214;188;praaxb;x
601;182;214;236;praaxc;x
602;236;215;92;praaxd;x
603;252;202;165;praaxe;x
604;185;170;233;praaxf;x
605;64;252;226;praaxg;x
606;245;173;122;praaxh;x
607;242;236;155;praaxi;x
608;213;211;182;praaxj;x
609;249;173;136;praaxk;x
610;182;218;252;praaxl;x
611;250;247;150;praaxm;x
612;230;230;172;praaxn;x
613;190;209;210;praaxo;x
614;132;214;246;praaxp;x
615;124;190;215;praaxq;x
616;27;252;241;praaxr;x
617;196;140;252;praaxs;x
618;208;231;209;praaxt;x
619;202;253;80;praaxu;x
620;236;22;246;praaxv;x
621;147;179;253;praaxw;x
622;171;209;123;praaxx;x
623;171;155;242;praaxy;x
624;190;184;141;praaxz;x
625;164;177;218;praaya;x
626;241;213;130;praayb;x
627;184;234;162;praayc;x
628;50;207;246;praayd;x
629;202;171;185;praaye;x
630;236;214;100;praayf;x
631;205;215;102;praayg;x
632;124;217;184;praayh;x
633;212;108;220;praayi;x
634;233;236;59;praayj;x
635;226;94;242;praayk;x
636;201;235;233;praayl;x
637;233;134;169;praaym;x
638;162;206;192;praayn;x
639;248;121;248;praayo;x
640;243;209;78;praayp;x
641;214;185;192;praayq;x
642;100;246;223;praayr;x
643;188;135;203;praays;x
644;76;179;250;praayt;x
645;187;147;248;praayu;x
646;219;179;187;praayv;x
647;226;192;253;praayw;x
648;238;114;205;praayx;x
649;222;226;88;praayy;x
650;178;228;157;praayz;x
651;139;195;249;praaza;x
652;148;190;180;praazb;x
653;216;128;192;praazc;x
654;141;191;200;praazd;x
655;150;254;156;praaze;x
656;171;212;221;praazf;x
657;229;158;251;praazg;x
658;250;82;183;praazh;x
659;231;194;92;praazi;x
660;199;193;252;praazj;x
661;250;119;250;praazk;x
662;223;201;223;praazl;x
663;125;195;202;praazm;x
664;215;240;176;praazn;x
665;243;205;63;praazo;x
666;157;227;204;praazp;x
667;208;156;173;praazq;x
668;105;233;237;praazr;x
669;230;251;194;praazs;x
670;124;254;215;praazt;x
671;183;211;148;praazu;x
672;232;103;209;praazv;x
673;221;230;245;praazw;x
674;227;111;170;praazx;x
675;219;137;183;praazy;x
676;150;173;194;praazz;x
677;251;147;121;prabaa;x
678;96;242;208;prabab;x
679;167;154;239;prabac;x
680;250;244;227;prabad;x
681;185;253;188;prabae;x
682;238;198;151;prabaf;x
683;96;215;238;prabag;x
684;236;178;90;prabah;x
685;242;212;98;prabai;x
686;226;254;179;prabaj;x
687;194;219;122;prabak;x
688;117;220;239;prabal;x
689;239;197;123;prabam;x
690;226;232;187;praban;x
691;137;221;224;prabao;x
692;134;224;254;prabap;x
693;219;190;221;prabaq;x
694;179;239;97;prabar;x
695;207;216;94;prabas;x
696;140;205;187;prabat;x
697;61;214;231;prabau;x
698;251;253;140;prabav;x
699;214;142;210;prabaw;x
700;138;224;166;prabax;x
701;180;104;240;prabay;x
702;237;182;146;prabaz;x
703;170;202;176;prabba;x
704;197;63;254;prabbb;x
705;196;204;232;prabbc;x
706;146;176;244;prabbd;x
707;106;248;167;prabbe;x
708;250;66;185;prabbf;x
709;203;204;176;prabbg;x
710;246;244;61;prabbh;x
711;248;138;228;prabbi;x
712;134;186;244;prabbj;x
713;156;171;215;prabbk;x
714;186;187;233;prabbl;x
715;177;157;167;prabbm;x
716;142;201;192;prabbn;x
717;237;252;191;prabbo;x
718;154;136;249;prabbp;x
719;226;178;227;prabbq;x
720;122;206;223;prabbr;x
721;222;205;79;prabbs;x
722;241;161;158;prabbt;x
723;233;177;205;prabbu;x
724;241;108;166;prabbv;x
725;137;201;214;prabbw;x
726;208;253;180;prabbx;x
727;250;208;232;prabby;x
728;248;180;226;prabbz;x
729;105;235;164;prabca;x
730;202;175;186;prabcb;x
731;211;73;231;prabcc;x
732;134;252;252;prabcd;x
733;253;241;15;prabce;x
734;230;102;190;prabcf;x
735;122;254;160;prabcg;x
736;182;212;200;prabch;x
737;132;211;211;prabci;x
738;248;126;199;prabcj;x
739;238;224;39;prabck;x
740;197;243;146;prabcl;x
741;245;218;214;prabcm;x
742;232;135;141;prabcn;x
743;176;205;124;prabco;x
744;194;175;147;prabcp;x
745;223;228;138;prabcq;x
746;222;252;128;prabcr;x
747;209;228;176;prabcs;x
748;216;170;222;prabct;x
749;245;182;122;prabcu;x
750;164;201;185;prabcv;x
751;144;184;198;prabcw;x
752;242;243;84;prabcx;x
753;78;230;248;prabcy;x
754;205;157;147;prabcz;x
755;254;92;248;prabda;x
756;148;192;249;prabdb;x
757;159;238;115;prabdc;x
758;240;245;240;prabdd;x
759;248;154;204;prabde;x
760;189;251;120;prabdf;x
761;203;172;239;prabdg;x
762;254;222;199;prabdh;x
763;252;108;158;prabdi;x
764;225;229;148;prabdj;x
765;142;165;205;prabdk;x
766;232;227;98;prabdl;x
767;142;170;228;prabdm;x
768;89;250;227;prabdn;x
769;127;184;220;prabdo;x
770;238;249;122;prabdp;x
771;128;149;246;prabdq;x
772;165;251;103;prabdr;x
773;226;109;179;prabds;x
774;247;210;242;prabdt;x
775;201;187;234;prabdu;x
776;244;174;130;prabdv;x
777;17;243;254;prabdw;x
778;164;173;200;prabdx;x
779;210;221;223;prabdy;x
780;214;189;225;prabdz;x
781;225;65;216;prabea;x
782;124;190;203;prabeb;x
783;216;122;223;prabec;x
784;225;107;231;prabed;x
785;218;145;172;prabee;x
786;124;237;185;prabef;x
787;151;199;157;prabeg;x
788;103;158;244;prabeh;x
789;191;200;220;prabei;x
790;227;180;241;prabej;x
791;230;63;224;prabek;x
792;185;169;205;prabel;x
793;107;210;239;prabem;x
794;190;175;165;praben;x
795;221;250;185;prabeo;x
796;219;214;99;prabep;x
797;236;193;222;prabeq;x
798;221;248;182;praber;x
799;134;251;155;prabes;x
800;108;252;141;prabet;x
801;225;184;250;prabeu;x
802;217;206;190;prabev;x
803;219;223;191;prabew;x
804;224;62;233;prabex;x
805;150;177;176;prabey;x
806;163;184;237;prabez;x
807;162;225;151;prabfa;x
808;166;234;123;prabfb;x
809;159;228;233;prabfc;x
810;222;187;129;prabfd;x
811;151;245;146;prabfe;x
812;171;209;147;prabff;x
813;32;242;252;prabfg;x
814;226;151;178;prabfh;x
815;139;125;242;prabfi;x
816;153;152;224;prabfj;x
817;219;210;95;prabfk;x
818;242;169;166;prabfl;x
819;235;244;202;prabfm;x
820;126;219;247;prabfn;x
821;210;157;248;prabfo;x
822;140;188;240;prabfp;x
823;232;245;78;prabfq;x
824;42;247;223;prabfr;x
825;154;212;195;prabfs;x
826;250;165;232;prabft;x
827;213;112;197;prabfu;x
828;162;228;123;prabfv;x
829;194;93;251;prabfw;x
830;186;233;215;prabfx;x
831;213;216;205;prabfy;x
832;173;248;134;prabfz;x
833;225;184;189;prabga;x
834;175;177;237;prabgb;x
835;247;92;193;prabgc;x
836;144;110;251;prabgd;x
837;10;37;27;prabge;x
838;168;195;190;prabgf;x
839;191;199;239;prabgg;x
840;57;229;218;prabgh;x
841;170;199;172;prabgi;x
842;142;245;245;prabgj;x
843;79;232;224;prabgk;x
844;175;221;211;prabgl;x
845;181;241;195;prabgm;x
846;206;169;168;prabgn;x
847;253;168;128;prabgo;x
848;191;140;191;prabgp;x
849;250;195;149;prabgq;x
850;198;107;246;prabgr;x
851;133;234;145;prabgs;x
852;175;232;101;prabgt;x
853;136;209;180;prabgu;x
854;117;221;166;prabgv;x
855;232;149;213;prabgw;x
856;190;237;142;prabgx;x
857;210;211;192;prabgy;x
858;146;177;202;prabgz;x
859;249;107;221;prabha;x
860;147;199;248;prabhb;x
861;150;254;105;prabhc;x
862;254;96;218;prabhd;x
863;157;217;177;prabhe;x
864;239;204;111;prabhf;x
865;179;198;189;prabhg;x
866;244;249;166;prabhh;x
867;242;113;178;prabhi;x
868;203;192;240;prabhj;x
869;215;190;196;prabhk;x
870;252;221;108;prabhl;x
871;166;235;244;prabhm;x
872;248;138;132;prabhn;x
873;184;249;253;prabho;x
874;96;227;226;prabhp;x
875;211;201;116;prabhq;x
876;204;250;214;prabhr;x
877;191;109;233;prabhs;x
878;137;249;213;prabht;x
879;224;240;171;prabhu;x
880;175;230;233;prabhv;x
881;118;176;221;prabhw;x
882;158;209;142;prabhx;x
883;178;210;150;prabhy;x
884;251;213;146;prabhz;x
885;212;242;76;prabia;x
886;246;236;217;prabib;x
887;250;115;247;prabic;x
888;247;137;138;prabid;x
889;230;227;113;prabie;x
890;196;159;191;prabif;x
891;202;199;118;prabig;x
892;161;220;153;prabih;x
893;244;224;79;prabii;x
894;254;147;135;prabij;x
895;207;123;186;prabik;x
896;236;209;113;prabil;x
897;221;145;170;prabim;x
898;248;178;178;prabin;x
899;148;164;214;prabio;x
900;129;245;185;prabip;x
901;140;249;169;prabiq;x
902;248;121;208;prabir;x
903;217;243;166;prabis;x
904;219;85;215;prabit;x
905;241;215;242;prabiu;x
906;225;149;155;prabiv;x
907;225;124;208;prabiw;x
908;211;250;95;prabix;x
909;207;169;151;prabiy;x
910;206;192;182;prabiz;x
911;79;248;174;prabja;x
912;134;227;199;prabjb;x
913;50;245;254;prabjc;x
914;115;214;238;prabjd;x
915;202;127;225;prabje;x
916;85;253;207;prabjf;x
917;224;105;247;prabjg;x
918;124;223;180;prabjh;x
919;227;237;169;prabji;x
920;151;224;169;prabjj;x
921;241;168;217;prabjk;x
922;209;209;138;prabjl;x
923;196;212;98;prabjm;x
924;189;195;136;prabjn;x
925;180;224;190;prabjo;x
926;235;123;163;prabjp;x
927;174;199;152;prabjq;x
928;203;200;101;prabjr;x
929;207;109;228;prabjs;x
930;191;241;239;prabjt;x
931;161;182;195;prabju;x
932;254;81;246;prabjv;x
933;230;235;59;prabjw;x
934;195;83;248;prabjx;x
935;86;228;214;prabjy;x
936;232;176;236;prabjz;x
937;197;162;249;prabka;x
938;233;207;79;prabkb;x
939;135;207;226;prabkc;x
940;140;189;196;prabkd;x
941;140;131;237;prabke;x
942;172;208;122;prabkf;x
943;137;250;125;prabkg;x
944;247;18;253;prabkh;x
945;236;254;238;prabki;x
946;219;248;205;prabkj;x
947;196;168;149;prabkk;x
948;168;175;232;prabkl;x
949;244;68;193;prabkm;x
950;191;163;244;prabkn;x
951;251;134;181;prabko;x
952;198;203;206;prabkp;x
953;168;239;201;prabkq;x
954;224;143;207;prabkr;x
955;131;222;169;prabks;x
956;203;249;220;prabkt;x
957;234;69;232;prabku;x
958;112;238;171;prabkv;x
959;174;218;237;prabkw;x
960;83;235;233;prabkx;x
961;197;193;144;prabky;x
962;178;220;145;prabkz;x
963;251;115;174;prabla;x
964;241;188;83;prablb;x
965;162;222;233;prablc;x
966;226;97;213;prabld;x
967;227;138;228;prable;x
968;201;199;111;prablf;x
969;167;242;93;prablg;x
970;204;230;128;prablh;x
971;235;226;176;prabli;x
972;201;212;194;prablj;x
973;81;206;230;prablk;x
974;218;214;193;prabll;x
975;253;192;185;prablm;x
976;246;220;59;prabln;x
977;165;148;205;prablo;x
978;221;120;247;prablp;x
979;206;156;248;prablq;x
980;226;181;179;prablr;x
981;252;169;240;prabls;x
982;154;164;210;prablt;x
983;229;223;231;prablu;x
